Apellidos y Nombres,Grupo Parlamentario,e-mail
Tacuri Valdivia Germán Adolfo,PERÚ LIBRE,gtacuri@congreso.gob.pe
Taipe Coronado María Elizabeth,PERÚ LIBRE,mtaipe@congreso.gob.pe
Tello Montes Nivardo Edgar,PERÚ LIBRE,ntellom@congreso.gob.pe
Torres Salinas Rosio,ALIANZA PARA EL PROGRESO,rtorress@congreso.gob.pe
Trigozo Reátegui Cheryl,ALIANZA PARA EL PROGRESO,chtrigozo@congreso.gob.pe
Tudela Gutiérrez Adriana Josefina,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,atudela@congreso.gob.pe
Ugarte Mamani Jhakeline Katy,PERÚ LIBRE,jugartem@congreso.gob.pe
Valer Pinto Héctor,SOMOS PERÚ - PARTIDO MORADO,hvaler@congreso.gob.pe
Varas Meléndez Elías Marcial,PERÚ LIBRE,evaras@congreso.gob.pe
Vásquez Vela Lucinda,PERÚ LIBRE,lvasquezv@congreso.gob.pe
Ventura Angel Héctor José,FUERZA POPULAR,hventura@congreso.gob.pe
Vergara Mendoza Elvis Hernán,ACCION POPULAR,evergaram@congreso.gob.pe
Williams Zapata José Daniel,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,jwilliams@congreso.gob.pe
Wong Pujada Enrique,PODEMOS PERÚ,ewong@congreso.gob.pe
Yarrow Lumbreras Norma Martina,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,nyarrow@congreso.gob.pe
Zea Choquechambi Oscar,PERÚ LIBRE,ozea@congreso.gob.pe
Zeballos Aponte Jorge Arturo,RENOVACIÓN POPULAR,jzeballos@congreso.gob.pe
Zeballos Madariaga Carlos Javier,ACCION POPULAR,czeballos@congreso.gob.pe
Zeta Chunga Cruz María,FUERZA POPULAR,czeta@congreso.gob.pe
